productsku,calendar_year,calendar_month,inventory,sales,retailer
10727,2019,1,2937,73550,10003
28359,2019,1,4752,66771,10003
44660,2019,1,2629,6913,10003
31033,2019,1,2201,86207,10003
22284,2019,1,2072,80511,10003
6103,2019,1,3808,79913,10003
23522,2019,1,2577,21238,10003
40840,2019,1,83,90665,10003
14385,2019,1,1374,40963,10003
5902,2019,1,2797,20012,10003
11772,2019,1,4659,72277,10003
42318,2019,1,1559,44982,10003
21049,2019,1,739,79579,10003
49694,2019,1,1626,65662,10003
33739,2019,1,4153,94201,10003
7763,2019,1,3617,75186,10003
38247,2019,1,3250,50958,10003
19425,2019,1,187,68020,10003
43448,2019,1,2571,52283,10003
24521,2019,1,4266,60429,10003
7843,2019,1,2050,94022,10003
45934,2019,1,896,97898,10003
14842,2019,1,2822,89478,10003
29637,2019,1,1363,9688,10003
24484,2019,1,1935,44423,10003
28569,2019,1,3931,96866,10003
28821,2019,1,146,57742,10003
21868,2019,1,2635,50472,10003
32884,2019,1,1537,69661,10003
23268,2019,1,3094,62123,10003
36057,2019,1,4864,69296,10003
4256,2019,1,1503,77199,10003
46529,2019,1,154,96361,10003
37235,2019,1,3003,22201,10003
32837,2019,1,520,12632,10003
14610,2019,1,417,5901,10003
29029,2019,1,1078,81789,10003
48755,2019,1,864,21916,10003
34189,2019,1,4908,24827,10003
39180,2019,1,4280,78471,10003
17751,2019,1,2384,56128,10003
14341,2019,1,3649,12595,10003
38593,2019,1,4919,52693,10003
40225,2019,1,4865,2481,10003
31639,2019,1,2985,84952,10003
31347,2019,1,2346,71109,10003
42118,2019,1,2702,50836,10003
5344,2019,1,3407,89390,10003
6179,2019,1,628,8007,10003
42203,2019,1,149,58063,10003
2987,2019,1,4091,20574,10003
9423,2019,1,1612,93038,10003
27047,2019,1,521,64987,10003
45937,2019,1,68,54546,10003
41832,2019,1,1923,16047,10003
20392,2019,1,1467,89258,10003
36605,2019,1,184,15083,10003
34500,2019,1,3708,40914,10003
48551,2019,1,3484,94212,10003
44396,2019,1,4888,50007,10003
46917,2019,1,2479,70449,10003
1739,2019,1,3035,13490,10003
26789,2019,1,3150,28248,10003
21506,2019,1,3198,76023,10003
19728,2019,1,2340,17372,10003
17907,2019,1,712,3453,10003
38193,2019,1,4178,87864,10003
42462,2019,1,3109,79024,10003
27740,2019,1,1947,44092,10003
18484,2019,1,3729,39761,10003
49709,2019,1,1696,39474,10003
7712,2019,1,2837,52184,10003
38717,2019,1,202,34054,10003
44748,2019,1,898,61505,10003
49652,2019,1,3455,88079,10003
18019,2019,1,3470,1685,10003
23358,2019,1,49,17748,10003
29328,2019,1,92,74217,10003
30558,2019,1,3069,70152,10003
14710,2019,1,1349,9962,10003
30145,2019,1,1517,71308,10003
3491,2019,1,2713,34729,10003
41982,2019,1,2594,42833,10003
14676,2019,1,124,76367,10003
29343,2019,1,4638,54005,10003
35134,2019,1,219,58044,10003
27049,2019,1,4774,27702,10003
3879,2019,1,3150,67723,10003
31858,2019,1,2723,66387,10003
24720,2019,1,1273,37268,10003
40523,2019,1,4208,55359,10003
15793,2019,1,4440,48742,10003
48685,2019,1,3750,87918,10003
45328,2019,1,2678,49150,10003
24966,2019,1,1571,41700,10003
26211,2019,1,2042,63227,10003
37128,2019,1,3830,26479,10003
27796,2019,1,2958,35765,10003
6889,2019,1,793,77463,10003
21300,2019,1,4233,23506,10003
37173,2019,1,4450,62124,10003
41447,2019,1,4357,90006,10003
42987,2019,1,2755,6653,10003
23177,2019,1,3363,21147,10003
10598,2019,1,4379,32603,10003
4976,2019,1,3621,45630,10003
46528,2019,1,4658,1980,10003
21631,2019,1,3370,58506,10003
6537,2019,1,4056,58242,10003
42804,2019,1,1321,92104,10003
34519,2019,1,1991,12358,10003
17880,2019,1,4904,22517,10003
1920,2019,1,4889,62202,10003
28725,2019,1,4030,44080,10003
5710,2019,1,565,49015,10003
43961,2019,1,2388,87242,10003
7543,2019,1,4877,73087,10003
23309,2019,1,3869,20529,10003
26323,2019,1,754,16996,10003
3799,2019,1,3750,40425,10003
36910,2019,1,4152,2369,10003
26896,2019,1,4970,3436,10003
6538,2019,1,400,28539,10003
32189,2019,1,3617,68688,10003
22940,2019,1,288,17416,10003
19293,2019,1,569,47156,10003
43707,2019,1,2789,36277,10003
35391,2019,1,2456,36456,10003
41581,2019,1,2227,85469,10003
20765,2019,1,489,51411,10003
42703,2019,1,1097,79114,10003
28673,2019,1,111,25465,10003
29721,2019,1,3365,88909,10003
1989,2019,1,3576,29531,10003
41807,2019,1,1981,98775,10003
10249,2019,1,4856,39630,10003
5023,2019,1,4988,98794,10003
34091,2019,1,3768,71617,10003
34416,2019,1,1828,63972,10003
14322,2019,1,4412,23635,10003
18348,2019,1,5,95070,10003
16591,2019,1,2301,91844,10003
48552,2019,1,2701,40461,10003
13004,2019,1,1824,88326,10003
17223,2019,1,4035,18634,10003
32261,2019,1,2668,38840,10003
42372,2019,1,2411,39848,10003
26249,2019,1,4795,79691,10003
44646,2019,1,1324,33044,10003
38803,2019,1,1931,14713,10003
17085,2019,1,2891,36669,10003
25057,2019,1,2418,24893,10003
49160,2019,1,3717,88180,10003
9565,2019,1,614,45462,10003
7513,2019,1,2781,65782,10003
28727,2019,1,2534,4529,10003
27365,2019,1,2395,35376,10003
46808,2019,1,1765,34761,10003
29885,2019,1,2242,89620,10003
10638,2019,1,1052,49632,10003
17332,2019,1,4468,21839,10003
32088,2019,1,3750,60570,10003
19905,2019,1,1963,78211,10003
29078,2019,1,596,37733,10003
32872,2019,1,2476,8888,10003
39380,2019,1,4160,18487,10003
49189,2019,1,4957,94305,10003
36440,2019,1,1264,13603,10003
43608,2019,1,3930,22640,10003
8574,2019,1,4402,63349,10003
48133,2019,1,1288,81389,10003
9630,2019,1,4292,39961,10003
5172,2019,1,2648,18925,10003
2020,2019,1,3486,24165,10003
25036,2019,1,3350,86691,10003
17600,2019,1,3065,3727,10003
27465,2019,1,2784,57175,10003
41481,2019,1,2782,77578,10003
20909,2019,1,4031,67581,10003
11475,2019,1,3152,91405,10003
1802,2019,1,1286,31149,10003
4298,2019,1,3230,71498,10003
3630,2019,1,3219,9770,10003
1998,2019,1,4076,76261,10003
47212,2019,1,1889,79570,10003
5797,2019,1,3508,7272,10003
20554,2019,1,66,21171,10003
15959,2019,1,626,30330,10003
32070,2019,1,733,97683,10003
2645,2019,1,540,416,10003
18997,2019,1,1845,1857,10003
40837,2019,1,3350,70711,10003
5003,2019,1,4246,61678,10003
12487,2019,1,4979,22108,10003
45505,2019,1,110,7093,10003
25450,2019,1,1195,79296,10003
5658,2019,1,719,5159,10003
21687,2019,1,1453,68212,10003
37197,2019,1,3746,77721,10003
30634,2019,1,3552,43592,10003
47712,2019,1,4805,67399,10003
3395,2019,1,154,48664,10003
10832,2019,1,2798,713,10003
37640,2019,1,564,87977,10003
22297,2019,1,4154,32669,10003
21032,2019,1,4943,40972,10003
41566,2019,1,3203,57528,10003
20254,2019,1,851,61004,10003
33972,2019,1,3696,51842,10003
12993,2019,1,925,32810,10003
10538,2019,1,3302,17328,10003
41763,2019,1,4620,71057,10003
4696,2019,1,4044,24662,10003
5808,2019,1,4752,25682,10003
10097,2019,1,2234,31197,10003
11939,2019,1,2217,45434,10003
25178,2019,1,3598,80057,10003
29396,2019,1,4435,47875,10003
9507,2019,1,2630,57683,10003
23064,2019,1,302,38381,10003
23004,2019,1,2350,33663,10003
29585,2019,1,958,28097,10003
16886,2019,1,1005,29574,10003
1817,2019,1,4516,45375,10003
21885,2019,1,884,71249,10003
24772,2019,1,2693,43926,10003
36554,2019,1,1865,24006,10003
12629,2019,1,128,29278,10003
13839,2019,1,1177,17845,10003
24568,2019,1,1594,22195,10003
32860,2019,1,2673,89808,10003
7085,2019,1,124,32699,10003
12064,2019,1,3313,13658,10003
30719,2019,1,57,88860,10003
45297,2019,1,4964,26711,10003
43333,2019,1,1102,30045,10003
31845,2019,1,4747,29574,10003
24651,2019,1,4042,65815,10003
1897,2019,1,4807,66192,10003
3807,2019,1,401,71020,10003
43761,2019,1,519,29134,10003
28994,2019,1,3662,11161,10003
36142,2019,1,2378,9844,10003
46838,2019,1,3490,44802,10003
9137,2019,1,3219,24810,10003
12615,2019,1,3810,47604,10003
11955,2019,1,213,91437,10003
7769,2019,1,3181,72423,10003
43537,2019,1,4386,69313,10003
24932,2019,1,2022,17919,10003
28280,2019,1,962,87461,10003
1133,2019,1,384,33931,10003
46253,2019,1,4563,83566,10003
15687,2019,1,4442,28005,10003
7612,2019,1,1952,35124,10003
26552,2019,1,101,7622,10003
8089,2019,1,1258,25339,10003
23319,2019,1,4084,62596,10003
37870,2019,1,614,9131,10003
34160,2019,1,4722,1199,10003
44345,2019,1,3646,84886,10003
31905,2019,1,2749,14899,10003
29936,2019,1,2599,35523,10003
5051,2019,1,3916,2083,10003
18148,2019,1,4720,33318,10003
47540,2019,1,1628,98038,10003
25078,2019,1,942,62730,10003
41325,2019,1,584,2468,10003
48002,2019,1,2926,82531,10003
42982,2019,1,4681,92550,10003
25166,2019,1,2537,99217,10003
4873,2019,1,3932,14204,10003
32353,2019,1,716,26025,10003
49916,2019,1,2605,16680,10003
11912,2019,1,3491,85971,10003
19976,2019,1,1841,5726,10003
44757,2019,1,495,3879,10003
29313,2019,1,4463,89697,10003
38376,2019,1,454,11077,10003
9839,2019,1,563,90849,10003
14164,2019,1,271,88242,10003
47040,2019,1,2040,87574,10003
8434,2019,1,2562,52601,10003
