productsku,calendar_year,calendar_month,inventory,sales,retailer
10727,2019,1,2972,37530,10002
28359,2019,1,694,40113,10002
44660,2019,1,1066,15154,10002
31033,2019,1,3157,42104,10002
22284,2019,1,2529,13466,10002
6103,2019,1,255,13610,10002
23522,2019,1,2016,55349,10002
40840,2019,1,753,39859,10002
14385,2019,1,2377,28064,10002
5902,2019,1,3337,19566,10002
11772,2019,1,4060,97216,10002
42318,2019,1,4718,8050,10002
21049,2019,1,2008,99341,10002
49694,2019,1,239,50354,10002
33739,2019,1,616,47465,10002
7763,2019,1,2555,98340,10002
38247,2019,1,4781,39548,10002
19425,2019,1,2664,14714,10002
43448,2019,1,3993,71339,10002
24521,2019,1,269,85879,10002
7843,2019,1,4292,80682,10002
45934,2019,1,2743,65094,10002
14842,2019,1,2058,21107,10002
29637,2019,1,2241,81035,10002
24484,2019,1,3638,93003,10002
28569,2019,1,1150,7038,10002
28821,2019,1,1978,63949,10002
21868,2019,1,4586,51725,10002
32884,2019,1,1699,23802,10002
23268,2019,1,1197,10039,10002
36057,2019,1,1395,28022,10002
4256,2019,1,2863,86186,10002
46529,2019,1,3985,18075,10002
37235,2019,1,3925,72907,10002
32837,2019,1,2890,85792,10002
14610,2019,1,3522,73836,10002
29029,2019,1,2291,63581,10002
48755,2019,1,1726,59451,10002
34189,2019,1,710,75914,10002
39180,2019,1,245,9376,10002
17751,2019,1,4844,40234,10002
14341,2019,1,1071,94174,10002
38593,2019,1,3369,61169,10002
40225,2019,1,3731,47305,10002
31639,2019,1,3602,18511,10002
31347,2019,1,4545,48592,10002
42118,2019,1,1689,76779,10002
5344,2019,1,2891,12242,10002
6179,2019,1,609,21040,10002
42203,2019,1,2122,75586,10002
2987,2019,1,2855,36208,10002
9423,2019,1,2843,82276,10002
27047,2019,1,4462,40994,10002
45937,2019,1,1765,22934,10002
41832,2019,1,4605,31072,10002
20392,2019,1,2234,91467,10002
36605,2019,1,2279,10686,10002
34500,2019,1,3340,4642,10002
48551,2019,1,3272,25063,10002
44396,2019,1,4121,99682,10002
46917,2019,1,2353,4660,10002
1739,2019,1,2238,8926,10002
26789,2019,1,1348,26487,10002
21506,2019,1,4773,32978,10002
19728,2019,1,4845,79032,10002
17907,2019,1,2978,52066,10002
38193,2019,1,4258,54425,10002
42462,2019,1,4810,1626,10002
27740,2019,1,4763,48746,10002
18484,2019,1,202,41156,10002
49709,2019,1,189,33842,10002
7712,2019,1,1919,83673,10002
38717,2019,1,3347,40086,10002
44748,2019,1,3706,29373,10002
49652,2019,1,2060,6274,10002
18019,2019,1,1780,89245,10002
23358,2019,1,4109,80210,10002
29328,2019,1,3371,97543,10002
30558,2019,1,4452,42265,10002
14710,2019,1,1199,99351,10002
30145,2019,1,1327,4146,10002
3491,2019,1,4865,95546,10002
41982,2019,1,2499,87876,10002
14676,2019,1,1153,37615,10002
29343,2019,1,755,61797,10002
35134,2019,1,3237,37043,10002
27049,2019,1,1230,26915,10002
3879,2019,1,1995,23954,10002
31858,2019,1,1821,50156,10002
24720,2019,1,111,39675,10002
40523,2019,1,3827,34887,10002
15793,2019,1,4308,84493,10002
48685,2019,1,4119,87053,10002
45328,2019,1,2952,38062,10002
24966,2019,1,3607,54482,10002
26211,2019,1,4731,45672,10002
37128,2019,1,462,52203,10002
27796,2019,1,1042,15414,10002
6889,2019,1,2342,96469,10002
21300,2019,1,2784,20144,10002
37173,2019,1,2925,37758,10002
41447,2019,1,1764,82880,10002
42987,2019,1,3573,94848,10002
23177,2019,1,1400,81429,10002
10598,2019,1,3938,83383,10002
4976,2019,1,1740,132,10002
46528,2019,1,2298,2800,10002
21631,2019,1,2620,5574,10002
6537,2019,1,3626,68837,10002
42804,2019,1,977,72676,10002
34519,2019,1,4488,63984,10002
17880,2019,1,1088,31517,10002
1920,2019,1,1720,584,10002
28725,2019,1,2212,95258,10002
5710,2019,1,736,65256,10002
43961,2019,1,1574,78902,10002
7543,2019,1,799,86911,10002
23309,2019,1,4951,35468,10002
26323,2019,1,1596,1024,10002
3799,2019,1,1076,60107,10002
36910,2019,1,1920,81120,10002
26896,2019,1,1585,91874,10002
6538,2019,1,2878,63062,10002
32189,2019,1,589,38668,10002
22940,2019,1,4259,97279,10002
19293,2019,1,2162,35962,10002
43707,2019,1,251,35941,10002
35391,2019,1,3741,64895,10002
41581,2019,1,1370,4597,10002
20765,2019,1,3662,6176,10002
42703,2019,1,3455,66694,10002
28673,2019,1,3078,54365,10002
29721,2019,1,2883,94324,10002
1989,2019,1,4804,16466,10002
41807,2019,1,1741,82292,10002
10249,2019,1,3181,13004,10002
5023,2019,1,1178,61080,10002
34091,2019,1,1822,20348,10002
34416,2019,1,1692,18333,10002
14322,2019,1,2339,37209,10002
18348,2019,1,1573,86882,10002
16591,2019,1,4106,32339,10002
48552,2019,1,4168,13508,10002
13004,2019,1,3374,51397,10002
17223,2019,1,4292,91597,10002
32261,2019,1,3869,5299,10002
42372,2019,1,1077,55497,10002
26249,2019,1,268,65932,10002
44646,2019,1,831,83545,10002
