"Customer_Id","Year_Birth","Annual_Income","Nb_Of_Kids","Nb_Of_Teenagers","Days_Since_Last_Purchase","Wines_Spending","Fruits_Spending","Meat_Spending","Fish_Spending","Sweet_Spending","Gold_Spending","Deals_Purchases","Web_Purchases","Catalog_Purchases","Store_Purchases","Monthly_Web_Visits","Accepted_Campaign_3","Accepted_Campaign_4","Accepted_Campaign_5","Accepted_Campaign_1","Accepted_Campaign_2","Has_Complained","Has_Responded"
4186,1955,34026,1,1,11,18,6,15,12,8,17,3,2,1,3,5,0,0,0,0,0,0,0
8925,1970,70053,0,1,38,512,53,98,81,179,89,3,8,5,10,5,0,0,0,0,0,0,0
1215,1983,70440,0,0,49,690,117,499,76,102,88,1,5,10,7,3,0,0,0,1,0,0,0
850,1973,70566,0,1,4,381,28,215,84,28,21,2,6,5,9,3,0,0,0,0,0,0,0
368,1979,40049,0,1,61,91,65,52,10,44,28,3,3,2,6,5,0,0,0,0,0,0,0
3009,1967,71670,0,0,8,1462,16,128,0,0,160,1,5,3,6,6,0,1,1,0,1,0,1
3312,1993,34176,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0
4713,1984,31605,1,0,15,74,0,42,2,1,6,2,2,1,4,7,0,0,0,0,0,0,0
5939,1976,38232,1,1,84,43,5,28,7,6,33,4,3,1,3,5,0,0,0,0,0,0,0
6355,1983,44359,1,1,19,20,0,14,7,3,1,3,2,0,4,3,0,0,0,0,0,0,0
11121,1986,19419,1,0,76,2,14,28,16,3,7,4,4,0,3,9,0,0,0,0,0,0,0
675,1978,52034,1,1,67,146,0,93,7,13,73,5,4,2,5,7,0,0,0,0,0,0,0
2156,1960,22554,1,1,38,27,0,10,0,0,4,4,2,0,4,5,0,0,0,0,0,0,0
5025,1984,48526,1,0,32,23,17,23,43,20,9,1,2,1,4,3,0,0,0,0,0,0,0
3517,1957,40887,1,1,32,50,4,44,10,10,43,3,3,1,3,9,0,0,0,0,0,0,1
5332,1965,82504,0,0,2,362,50,431,134,35,54,1,3,6,7,1,0,0,0,0,0,0,0
7788,1988,23536,1,0,53,6,0,3,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0
4094,1966,60544,1,1,92,201,2,43,3,5,35,4,5,1,5,6,0,0,0,0,0,0,0
2308,1959,46734,0,1,40,110,5,137,26,23,29,2,6,1,5,7,0,0,0,0,0,0,0
10323,1957,49413,0,1,88,205,7,41,3,2,46,2,4,2,5,5,0,0,0,0,0,0,0
1158,1971,48877,0,1,27,102,1,15,2,0,24,1,3,0,4,7,0,0,0,0,0,0,0
5848,1975,81205,0,0,43,724,74,929,97,55,130,1,5,6,7,2,1,0,1,0,1,0,1
5995,1967,39552,1,1,54,165,3,147,4,24,41,7,6,2,5,8,0,0,0,0,0,0,1
7947,1974,42231,1,1,99,24,0,8,0,1,4,1,1,0,3,5,0,0,0,0,0,0,0
9958,1977,65685,0,1,54,642,14,49,0,7,57,1,9,2,9,5,0,0,0,0,0,0,0
6203,1952,74485,0,0,58,499,149,815,173,49,49,1,6,7,12,3,0,0,0,0,0,0,0
10343,1996,61618,0,0,27,605,91,399,0,45,205,2,3,6,8,3,0,0,0,0,0,0,0
6749,1971,86358,1,1,78,957,47,494,82,47,95,4,5,3,6,8,0,0,0,0,0,0,0
1891,1985,78789,0,0,12,667,50,850,21,83,83,1,4,6,5,2,0,0,0,0,0,0,1
7165,1977,64474,0,1,59,381,35,172,56,86,93,2,8,2,10,5,0,0,0,0,0,0,0
5935,1961,55284,0,1,60,547,7,140,0,7,63,3,7,5,8,5,0,0,0,0,0,0,0
2534,1958,37716,0,1,4,97,1,41,6,2,41,2,4,1,3,7,0,0,0,0,0,0,0
2570,1973,56534,0,1,35,691,7,61,10,0,46,4,10,4,7,8,0,1,0,0,1,0,1
2895,1968,49980,0,1,79,104,1,54,13,9,14,2,3,1,5,5,0,0,0,0,0,0,0
1010,1982,46931,2,1,94,41,0,17,3,1,16,2,1,1,3,3,0,0,0,0,0,0,0
3595,1968,77226,0,1,29,631,43,239,128,76,21,2,6,8,12,3,0,0,0,0,0,0,0
4188,1962,36864,0,1,53,204,5,39,17,0,89,3,5,2,4,8,0,0,0,0,0,0,1
9256,1976,58350,0,1,5,493,26,206,116,80,80,4,8,3,12,6,0,0,0,0,0,0,0
